time,ax,ay,az,gx,gy,gz
70.95,0.01,-0.02,-0.97,-3.56,-0.82,1.03
71.96,-0.07,-0.05,-1.11,-5.60,-14.65,-15.21
72.97,0.03,-0.00,-1.53,-26.46,11.63,-4.27
73.98,-0.00,-0.02,-1.21,-0.85,30.84,-0.10
74.99,0.02,-0.04,-0.85,-11.42,55.83,-4.62
76.00,0.11,-0.01,-0.74,-24.86,40.17,-9.51
77.01,0.09,0.20,-0.57,-50.72,2.03,-31.11
78.02,0.16,0.15,-0.47,-25.61,21.15,6.71
79.03,0.19,0.24,-0.34,-11.32,-56.02,-4.43
80.04,0.06,0.17,-0.79,1.46,-27.18,8.63
81.05,-0.01,0.15,-0.84,13.31,1.11,5.12
82.06,0.12,0.18,-1.22,38.66,2.94,23.86
83.07,0.10,-0.07,-1.14,34.08,3.97,25.96
84.09,-0.05,-0.13,-0.89,-25.79,1.13,9.34
85.10,0.08,-0.06,-1.10,8.74,-12.39,6.90
86.11,-0.03,-0.05,-0.80,3.88,22.88,-12.96
87.12,-0.01,-0.03,-1.01,-9.56,2.78,0.44
88.13,0.01,0.00,-0.97,-3.09,-0.14,-2.06
89.14,0.01,-0.00,-0.97,-0.47,-0.89,-1.72
90.15,0.01,0.00,-0.98,-2.06,-3.16,0.76